TotalToDos,TotalTasksAssigned,TotalTasksCompleted,TotalChecklistsAssigned,TotalChecklistsCompleted,TotalInfractions,TotalShiftSubmissionsCreated,TotalShiftSubmissionsCompleted,SetupsCreated,TotalBreaksRan,TotalCreatedPlays,TotalWastedItems,FirstWasteDate,TotalWastedItemsAllTime,TopPerformances,10PointRecognition,25PointRecognition,50PointRecognition,TotalRewardsRedeemed,TenantID,StoreName,StoreNumber,WasteOnly,CreationDate,State
0,0,0,0,0,0,0,0,0,0,0,,2022-06-03 14:07:43,14910,0,0,0,0,0,CFA_37703376,Red Oak,03964,true,2022-10-22 12:29:19,TX
3028,188,188,2132,1919,122,454,220,590,722,24,3880,2022-12-07 11:25:06,10405,361,177,30,1,14,CFA_378767877,Eldorado & Ridge,03675,false,2022-12-07 16:54:08,TX
130,69,76,4,1,164,0,0,193,2,2,130,2022-12-23 18:21:47,824,0,88,64,111,1,CFA_387911616,Heritage Towne Crossing,01193,false,2022-12-22 20:41:21,TX
0,0,0,0,0,0,0,0,0,0,0,,2022-08-30 14:43:31,46,0,0,0,0,0,CFA_393389513,Chick-fil-A ,04242,true,2022-10-22 12:29:19,CA
126,32,39,36,18,24,0,0,192,808,20,29930.75,2022-11-17 11:36:30,127946.67999988794,0,11,0,3,0,CFA_394323532,Mile of Cars DTO,03764,false,2022-12-26 22:39:45,CA
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CFA_40194804,6th & Congress,04547,true,2022-10-22 12:29:19,TX
2865,1377,1385,1332,1154,86,21,13,294,62,16,921,2022-12-20 09:38:59,2257,26,85,31,22,4,CFA_402190006,Bastrop,03100,false,2022-12-01 20:00:28,TX
704,2,4,256,162,0,235,50,3,1,0,11026,2022-11-18 20:43:11,24094,79,0,0,0,0,CFA_412676756,Debbie Ln & Matlock Rd,04911,false,2022-11-17 04:49:24,TX
55,0,0,55,27,0,0,0,148,0,15,5522.5399997206405,2022-12-30 09:01:43,13214.184999017976,0,17,5,6,0,CFA_414601877,Central & Rock Rd,02817,false,2022-12-30 14:22:43,KS
534,16,16,504,410,10,0,0,0,0,2,,2022-12-08 13:03:50,95,0,1,8,6,6,CFA_422142165,Melbourne Square,00221,false,2022-12-07 19:02:33,FL
42,0,0,0,0,118,0,0,0,0,0,13061,2022-05-26 08:54:19,104175,0,7,1,1,0,CFA_425951701,Chick-fil-A Corsicana,04627,false,2022-10-22 12:29:19,TX
866,40,42,807,712,125,0,0,0,0,0,,2023-02-01 09:59:22,2,0,69,2,8,7,CFA_428402908,Chick-fil-A,03451,false,2022-12-30 21:54:00,NY
0,0,0,0,0,0,0,0,0,0,0,,2022-12-21 16:29:52,46,0,3,1,0,0,CFA_430986043,Austin Highway,02632,false,2022-12-20 21:50:42,TX
764,0,0,335,247,23,159,86,9,0,12,77,2022-11-30 14:54:30,120,290,99,14,10,4,CFA_431860022,Millsboro,02884,false,2022-11-30 17:15:32,DE
573,2,2,154,105,31,142,61,142,0,7,3188,2023-02-27 15:49:43,4567,85,0,1,0,0,CFA_43289804,Cache Road,00941,false,2022-12-01 18:46:05,OK
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CFA_439459337,Snapshot,88888,false,2022-12-14 19:17:56,
183,64,73,81,15,144,7,3,4,0,14,307,2022-12-13 13:48:01,689,3,30,5,8,0,CFA_451587213,Barry Road FSU,02935,false,2022-12-12 19:15:23,MO
0,0,0,0,0,0,0,0,0,0,0,215,2022-08-19 13:24:20,2174,0,0,0,0,0,CFA_458347776,Hwy 26 at Precinct Line ,03608,false,2022-10-22 12:29:19,TX
265,123,123,105,19,2,22,5,101,145,5,1,2023-01-09 18:21:15,713,56,16,4,12,0,CFA_4589833,Chick-Fil-A FVH,02831,false,2022-12-16 19:18:28,IL
985,218,245,586,407,80,114,17,80,0,79,8160,2023-01-16 12:27:48,9219,26,15,16,23,28,CFA_475462388,Trussville,01143,false,2022-12-27 19:58:55,AL
55,8,8,32,26,49,0,0,0,0,1,8326,2023-01-19 15:13:24,19712,0,12,2,0,0,CFA_476482891,Grand Junction,01691,false,2022-12-31 17:40:10,CO
571,39,40,520,414,18,0,0,0,0,0,1,2023-04-06 22:56:23,1,0,0,0,0,0,CFA_48468036,Silverlake,01284,false,2022-10-22 12:29:19,TX
2592,54,59,1905,1374,32,357,217,339,433,45,5762,2022-11-30 08:52:10,17756,570,170,225,10,4,CFA_487761446,Razorback Road,02196,false,2022-11-29 17:09:12,AR
353,67,89,200,167,30,0,0,210,2797,14,,2022-12-06 10:37:30,5.152000427246094,0,21,5,1,0,CFA_493591134,52nd and Wadsworth ,02636,false,2022-11-29 23:35:18,CO
0,0,0,0,0,0,0,0,0,0,2,,2022-12-29 12:30:08,25,0,0,0,0,6,CFA_496439082,South Loop,04313,false,2022-11-29 17:30:04,IL
3307,46,70,2797,716,27,189,31,739,1350,59,2653,2022-12-28 14:52:25,6347,35,0,0,0,0,CFA_500045538,Manahawkin,03650,false,2022-12-21 18:17:37,NJ
1197,536,632,182,150,48,147,53,90,0,48,12665,2023-02-09 15:57:46,24922,90,5,2,49,2,CFA_503274762,Westgate Mall (TX),00336,false,2022-12-08 20:49:17,TX
383,4,4,366,329,59,0,0,0,0,2,136,2023-01-04 12:34:28,684,0,6,0,4,1,CFA_50367567,Broward mall,00066,false,2022-12-31 00:19:06,FL
303,4,4,108,83,31,62,10,54,0,1,2491,2022-12-30 10:15:18,16003,46,87,28,30,19,CFA_504554730,Rayzor Ranch,02213,false,2022-12-22 18:15:51,TX
21,0,0,14,3,5,0,0,54,0,1,,2022-12-02 10:31:48,63,0,1,0,0,0,CFA_508919895,Killeen FSU,02429,false,2022-11-30 19:47:41,TX
1740,203,215,1518,1204,0,7,0,475,1519,10,9234,2022-10-05 08:42:14,26488,12,3,5,0,0,CFA_521879103,Anna Town Center,04191,false,2022-10-22 12:29:19,TX
523,8,8,414,240,8,43,23,234,913,3,6949,2023-01-04 13:24:09,11083,87,21,5,2,2,CFA_524705424,Jacksonville (AL) FSU,04457,false,2022-12-19 17:52:59,AL
1098,12,13,793,721,6,372,229,167,17,6,1343,2023-02-06 22:00:56,2826,491,47,8,4,84,CFA_536120975,Seaford FSU,04135,false,2022-12-13 21:12:35,DE
1210,94,110,610,417,158,184,111,318,136,3,14354,2023-01-06 14:28:19,17054,119,73,12,1,2,CFA_544514088,Kingston Overlook,00994,false,2022-12-30 18:51:01,TN
342,185,190,152,121,0,0,0,411,1243,9,7757,2022-12-15 10:49:27,14637,0,8,1,0,0,CFA_55063323,Saxony,03623,false,2022-12-07 19:11:52,IN
2907,897,1101,1093,687,127,310,168,328,1125,30,7622,2023-01-20 10:19:14,21699,319,202,98,107,3,CFA_552649793,Stacy Rd,02354,false,2022-12-20 23:33:06,TX
4349,3,3,3676,2656,150,272,158,524,1010,51,20462,2022-12-19 17:16:02,48812,241,51,89,154,12,CFA_559931607,Stephenville FSU,05167,false,2022-12-06 22:44:53,TX
668,219,237,136,99,75,97,37,66,1,4,38,2022-12-03 11:43:11,3955.5,89,61,80,23,15,CFA_570852305,Lebanon & Tollway,04033,false,2022-12-02 22:27:11,TX
584,34,36,543,501,0,0,0,73,24,3,1397.6999998092651,2022-12-23 11:03:05,10536.199999690056,0,8,4,59,6,CFA_570885398,Cutten,00599,false,2022-12-09 19:21:13,TX
0,0,0,0,0,0,0,0,0,0,0,,2022-12-17 12:34:30,1412,0,0,0,0,0,CFA_599568198,South Corona at the Crossings,01564,false,2022-12-17 16:38:29,CA
416,0,0,236,221,35,79,41,0,0,0,957,2023-03-01 11:31:38,3065,60,0,0,0,0,CFA_603325588,Meyer Park,04650,false,2022-12-31 18:20:31,TX
677,98,98,243,150,50,194,69,0,0,1,1770,2022-12-01 22:00:52,11363,192,61,4,14,12,CFA_603775473,North Spokane & Route 2,04481,false,2022-11-09 21:21:44,WA
1810,34,52,1060,717,123,291,147,265,2,21,4623,2022-12-14 14:23:33,28598,374,80,44,38,2,CFA_607607583,Vicksburg FSU,03037,false,2022-12-14 15:41:13,MS
535,47,53,482,327,0,0,0,222,1340,13,1,2023-02-26 14:12:02,308,0,2,0,1,0,CFA_607985237,Terre Haute,03020,false,2022-12-28 14:06:21,IN
1647,3,4,1563,450,19,72,10,394,104,33,9951.865002460778,2023-01-13 09:02:48,17865.544999577105,19,4,7,0,0,CFA_608383792,K96 & Greenwich,04721,false,2022-12-30 14:31:04,KS
2958,1521,1652,1039,776,90,0,0,381,1529,29,16399,2022-12-12 22:45:55,34515,0,472,584,1012,452,CFA_610847074,01449 Dowlen Road,01449,false,2022-12-05 21:26:03,TX
